Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min Nitrate N + Nitrite N,Min Fecal Coliform,Min Total Coliform
LAKE,"ANDHRA 
PRADESH",28.0,5.2,7.1,8670.0,1.6,1.3,2.0,1100
LAKE,"ANDHRA 
PRADESH",26.0,5.5,7.1,817.0,1.2,1.2,15.0,350
LAKE,ASSAM,15.0,0.5,5.6,30.0,3.2,0.2,2.0,2
LAKE,ASSAM,20.0,5.1,6.8,52.0,0.8,0.1,2.0,2
POND,ASSAM,20.0,1.6,6.7,461.0,3.8,0.7,300.0,360
POND,ASSAM,15.0,3.0,5.7,105.0,2.1,0.1,2.0,360
POND,ASSAM,18.0,4.3,6.3,20.0,1.3,0.1,2.0,300
POND,ASSAM,22.0,4.8,6.3,21.0,0.9,0.1,2.0,300
POND,ASSAM,19.0,5.3,6.5,44.0,1.4,0.3,2.0,360
POND,ASSAM,20.0,6.8,7.1,218.0,3.4,0.1,2.0,2
POND,ASSAM,20.0,7.0,6.3,64.0,3.0,0.2,2.0,2
POND,ASSAM,20.0,6.5,6.7,17.0,3.2,0.1,2.0,2
POND,ASSAM,22.0,3.8,6.3,18.0,4.6,0.1,2.0,2
POND,ASSAM,22.0,1.8,6.0,51.0,1.8,0.2,2.0,2
POND,ASSAM,23.0,4.6,7.7,145.0,3.2,0.3,2.0,2
POND,ASSAM,22.0,4.5,6.3,282.0,2.8,0.2,2.0,2
POND,ASSAM,24.0,3.8,6.1,125.0,2.6,0.1,2.0,2
POND,ASSAM,20.0,4.7,6.8,195.0,3.9,0.1,2.0,2
POND,ASSAM,20.0,4.6,5.8,18.0,1.4,0.2,2.0,2
POND,ASSAM,22.0,0.0,6.9,50.0,1.5,0.2,2.0,300
POND,ASSAM,22.0,4.8,6.5,10.0,1.1,0.1,2.0,2
POND,ASSAM,23.0,2.0,6.6,43.0,1.3,0.1,2.0,730
POND,ASSAM,22.0,4.8,6.8,53.0,1.2,0.1,2.0,360
POND,ASSAM,20.0,3.1,6.8,94.0,2.3,0.4,2.0,2
POND,ASSAM,18.0,4.0,6.2,18.0,1.2,0.1,2.0,360
POND,ASSAM,21.0,5.5,6.5,23.0,1.8,0.3,2.0,360
POND,ASSAM,21.0,5.5,6.0,29.0,1.0,0.1,2.0,2
POND,ASSAM,19.0,4.9,6.3,50.0,1.6,0.6,2.0,360
POND,ASSAM,21.0,4.0,6.7,104.0,2.6,0.7,2.0,2
POND,ASSAM,23.0,3.2,6.8,302.0,2.8,0.2,360.0,730
TANK,ASSAM,21.0,5.0,6.1,10.0,0.9,0.1,2.0,300
LAKE,CHANDIGARH,16.0,4.8,7.3,198.0,1.0,0.0,2.0,2
LAKE,CHHATTISGARH,18.0,6.0,7.0,320.0,3.0,0.0,26.0,2
POND,CHHATTISGARH,12.0,0.7,7.2,320.0,3.0,0.0,26.0,2
LAKE,DELHI,31.0,16.4,8.7,1162.0,17.0,0.0,170.0,280
LAKE,DELHI,22.0,0.0,8.1,7110.0,36.0,3.3,49.0,13000
LAKE,DELHI,22.0,7.4,7.4,801.0,11.0,1.1,400.0,1100
LAKE,GOA,27.0,6.0,6.8,35.0,0.6,BDL,2.0,BDL
LAKE,GOA,27.0,5.7,6.1,29.0,0.0,BDL,450.0,780
LAKE,GOA,25.0,4.9,7.0,46.0,0.3,0.0,7.0,13
LAKE,GOA,24.6,1.9,6.6,84.0,0.3,BDL,200.0,450
LAKE,GOA,26.0,3.2,6.7,144.0,0.0,0.0,200.0,400
LAKE,GOA,27.6,4.8,6.0,80.0,0.8,0.0,200.0,450
LAKE,GOA,27.0,4.0,6.0,80.0,0.8,0.0,450.0,780
LAKE,GUJARAT,22.0,3.7,8.3,292.0,13.0,0.2,21.0,210
LAKE,GUJARAT,18.0,3.3,7.9,442.0,8.0,0.0,21.0,210
LAKE,GUJARAT,25.0,7.0,7.4,276.0,0.3,0.4,2.0,4
LAKE,GUJARAT,27.0,2.7,7.3,1401.0,0.2,0.6,12.0,47
LAKE,GUJARAT,26.0,BDL,7.5,2305.0,5.0,0.0,5.0,31
LAKE,GUJARAT,21.0,3.8,7.2,2164.0,2.1,0.1,4.0,24
LAKE,GUJARAT,21.0,4.6,7.0,340.0,4.5,0.2,2.0,2
LAKE,GUJARAT,22.0,0.0,6.7,303.0,2.6,0.0,2.0,BDL
LAKE,GUJARAT,26.0,5.3,7.3,347.0,1.1,0.0,2.0,12
LAKE,GUJARAT,28.0,5.9,7.3,10.0,0.3,0.0,11.0,33
LAKE,GUJARAT,27.0,6.8,7.2,4.0,0.5,0.0,3.0,20
LAKE,GUJARAT,24.0,4.5,7.2,1090.0,2.0,0.0,2.0,8
LAKE,GUJARAT,25.0,3.3,7.4,466.0,0.3,0.1,2.0,2
LAKE,GUJARAT,23.0,3.1,7.4,432.0,0.6,0.4,4.0,21
LAKE,GUJARAT,24.0,2.1,7.0,672.0,1.2,0.0,6.0,14
LAKE,GUJARAT,27.0,BDL,8.4,3137.0,20.0,0.2,13.0,58
