Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min Nitrate N + Nitrite N,Min Fecal Coliform,Min Total Coliform
LAKE,"ANDHRA 
PRADESH",27.0,5.1,7.1,3270.0,1.0,0.65,2.0,800.0
LAKE,"ANDHRA 
PRADESH",24.0,5.9,6.9,597.0,1.3,1.16,11.0,350.0
LAKE,ASSAM,20.0,2.2,5.7,50.0,1.0,0.1,300.0,360.0
LAKE,ASSAM,22.0,5.1,6.6,54.0,0.9,0.1,300.0,300.0
POND,ASSAM,22.0,0.7,6.8,263.0,4.5,0.8,1100.0,730.0
POND,ASSAM,20.0,3.5,6.1,26.0,2.2,0.5,300.0,360.0
POND,ASSAM,18.0,5.0,5.8,25.0,2.0,0.1,360.0,300.0
POND,ASSAM,20.0,5.2,5.6,23.0,1.9,0.1,360.0,360.0
POND,ASSAM,21.0,5.1,6.7,45.0,1.1,0.1,300.0,300.0
POND,ASSAM,22.0,7.2,7.1,195.0,3.8,0.9,300.0,300.0
POND,ASSAM,20.0,7.4,6.8,64.0,2.8,0.2,360.0,360.0
POND,ASSAM,20.0,7.0,7.2,26.0,4.5,0.7,300.0,360.0
POND,ASSAM,23.0,2.6,6.1,26.0,3.3,0.2,300.0,910.0
POND,ASSAM,23.0,1.2,5.9,8.0,1.2,0.5,300.0,910.0
POND,ASSAM,23.0,6.4,7.7,153.0,3.0,0.8,300.0,360.0
POND,ASSAM,19.0,3.7,6.7,282.0,2.8,1.6,700.0,360.0
POND,ASSAM,21.0,4.5,6.2,122.0,2.4,0.7,300.0,730.0
POND,ASSAM,22.0,1.9,6.6,190.0,4.2,0.7,300.0,910.0
POND,ASSAM,22.0,5.2,5.5,26.0,1.6,0.7,300.0,360.0
POND,ASSAM,23.0,3.9,6.7,50.0,2.2,0.3,300.0,300.0
POND,ASSAM,23.0,4.5,6.1,24.0,1.0,0.1,300.0,360.0
POND,ASSAM,22.0,4.7,6.4,27.0,1.4,1.0,300.0,360.0
POND,ASSAM,23.0,4.6,6.7,31.0,1.1,0.8,300.0,360.0
POND,ASSAM,22.0,4.7,6.7,63.0,2.8,0.2,300.0,300.0
POND,ASSAM,17.0,5.3,6.1,24.0,1.7,0.1,300.0,360.0
POND,ASSAM,17.0,4.7,6.6,17.0,1.5,0.3,360.0,360.0
POND,ASSAM,20.0,5.3,6.2,32.0,1.6,0.1,360.0,360.0
POND,ASSAM,21.0,4.5,6.4,26.0,2.2,1.1,300.0,360.0
POND,ASSAM,24.0,4.0,6.8,280.0,3.4,0.8,300.0,910.0
POND,ASSAM,20.0,4.0,7.1,136.0,3.0,0.3,360.0,360.0
TANK,ASSAM,18.0,5.2,5.9,21.0,1.4,0.1,300.0,360.0
LAKE,BIHAR,18.0,6.2,7.0,275.0,2.1,0.0,2100.0,3100.0
POND,BIHAR,18.0,6.4,7.4,308.0,2.3,0.0,1700.0,2700.0
LAKE,CHANDIGARH,14.0,5.1,6.7,137.0,3.0,0.28,2.0,2.0
LAKE,CHHATTISGARH,25.0,5.8,7.0,290.0,2.0,0.0,130.0,260.0
POND,CHHATTISGARH,25.0,6.4,7.2,290.0,2.0,0.0,130.0,460.0
LAKE,GOA,26.0,6.1,6.3,42.0,0.0,0.0,8.0,2.0
LAKE,GOA,26.5,4.4,5.2,38.0,0.5,0.0,220.0,260.0
LAKE,GOA,27.0,6.1,6.2,43.0,0.4,0.01,8.0,2.0
LAKE,GOA,25.3,1.9,6.3,98.0,0.6,0.03,780.0,1100.0
LAKE,GOA,23.3,2.8,6.4,63.0,1.0,0.0,110.0,140.0
LAKE,GOA,26.5,4.7,6.0,72.0,1.0,0.0,200.0,450.0
LAKE,GOA,26.0,1.5,5.0,78.0,0.9,0.0,130.0,230.0
LAKE,GUJARAT,25.0,4.2,8.4,2308.0,30.0,0.19,9.0,48.0
LAKE,GUJARAT,25.0,2.6,7.5,349.0,5.0,0.09,5.0,58.0
LAKE,GUJARAT,22.0,7.6,7.2,223.0,0.2,0.04,2.0,4.0
LAKE,GUJARAT,25.0,1.6,6.7,2630.0,0.8,0.08,4.0,11.0
