Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min Nitrate N + Nitrite N,Min Fecal Coliform,Min Total Coliform
LAKE,"ANDHRA 
PRADESH",22,3.9,7.1,374,1.5,0.33,214,816
LAKE,"ANDHRA 
PRADESH",18,3.2,7.2,215,1.6,0.69,7,210
LAKE,"ANDHRA 
PRADESH",26,3.4,7.1,402,2.4,1.12,7,150
LAKE,"ANDHRA 
PRADESH",23,5.1,6.6,322,1.5,0.32,89,491
LAKE,"ANDHRA 
PRADESH",18,5.7,7.4,31100,2.6,1.11,3,75
TANK,"ANDHRA 
PRADESH",24,6.6,7.2,699,2.4,1.40,3,75
TANK,"ANDHRA 
PRADESH",22,5.2,7.0,196,1.0,0.32,104,258
TANK,"ANDHRA 
PRADESH",17,6.2,7.5,982,2.5,0.45,3,120
WETLAND,"ANDHRA 
PRADESH",19,5.1,7.5,510,1.2,0.32,97,403
WETLAND,"ANDHRA 
PRADESH",22,6.4,7.3,247,1.8,0.92,3,64
WETLAND,"ANDHRA 
PRADESH",21,5.4,7.0,406,1.0,0.32,102,436
LAKE,KARNATAKA,25,0.3,7.0,-,1.0,0.30,2,350
WETLAND,"ANDHRA 
PRADESH",24,2.9,7.4,279,1.7,0.51,4,75
WETLAND,"ANDHRA 
PRADESH",26,6.4,7.1,2182,1.6,0.55,3,93
WETLAND,"ANDHRA 
PRADESH",15,4.0,6.8,893,1.3,0.32,244,866
WETLAND,"ANDHRA 
PRADESH",25,6.1,7.5,14950,2.7,0.95,3,75
WETLAND,"ANDHRA 
PRADESH",16,4.1,6.8,701,1.2,0.46,226,686
WETLAND,"ANDHRA 
PRADESH",25,5.8,7.2,23000,2.6,0.74,3,47
WETLAND,"ANDHRA 
PRADESH",24,5.0,6.8,1859,2.2,1.04,3,21
WETLAND,"ANDHRA 
PRADESH",22,5.3,7.2,364,1.0,0.32,118,365
WETLAND,"ANDHRA 
PRADESH",24,3.2,7.0,415,1.1,0.53,4,48
WETLAND,"ANDHRA 
PRADESH",25,5.0,7.4,593,1.8,0.57,3,11
WETLAND,"ANDHRA 
PRADESH",21,4.2,7.3,746,1.2,0.32,228,579
WETLAND,"ANDHRA 
PRADESH",24,4.3,7.3,212,1.0,0.55,9,120
WETLAND,"ANDHRA 
PRADESH",23,0.3,6.8,658,5.4,0.32,3,64
WETLAND,"ANDHRA 
PRADESH",21,4.8,7.0,389,1.2,0.43,142,594
WETLAND,"ANDHRA 
PRADESH",21,5.1,7.3,464,1.0,0.32,38,403
WETLAND,"ANDHRA 
PRADESH",25,5.7,7.1,218,1.2,0.38,3,39
WETLAND,"ANDHRA 
PRADESH",23,6.1,7.2,877,4.0,2.96,4,380
WETLAND,"ANDHRA 
PRADESH",16,5.6,7.5,146,1.4,0.32,3,64
LAKE,ASSAM,22,4.0,6.8,140,2.1,0.80,300,720
LAKE,ASSAM,22,4.5,6.9,196,2.0,0.90,300,730
LAKE,ASSAM,20,0.3,6.8,430,22.6,2.40,2100,3900
LAKE,ASSAM,20,4.6,6.8,92,2.4,0.80,360,730
LAKE,ASSAM,23,4.8,7.0,90,2.1,0.90,300,910
LAKE,ASSAM,18,5.0,6.8,224,5.0,2.50,360,910
LAKE,ASSAM,18,5.3,6.8,223,5.1,2.60,300,910
LAKE,ASSAM,21,4.6,6.7,103,1.8,0.80,300,720
LAKE,ASSAM,20,4.0,6.6,243,2.2,0.70,360,720
LAKE,ASSAM,22,4.2,6.7,126,2.0,0.90,300,910
LAKE,ASSAM,18,4.0,6.6,49,2.3,0.70,300,360
LAKE,ASSAM,21,0.3,7.1,953,24.4,2.30,300,1400
LAKE,ASSAM,22,4.0,6.8,154,2.1,0.70,300,720
LAKE,ASSAM,21,4.0,6.5,138,2.2,0.70,300,730
