Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min Nitrate N + Nitrite N,Min Fecal Coliform,Min Total Coliform
LAKE,ANDHRA PRADESH,24.0,3.2,7.0,245,1.6,1.02,9,120
LAKE,ANDHRA PRADESH,26.0,3.0,6.9,599,1.9,0.77,15,150
LAKE,ANDHRA PRADESH,18.0,4.2,7.2,28000,2.4,1.20,3,47
TANK,ANDHRA PRADESH,22.0,5.4,6.3,180,1.0,0.34,24,170
Wetland,ANDHRA PRADESH,21.0,5.4,7.3,496,1.0,0.35,43,240
Wetland,ANDHRA PRADESH,22.0,6.8,7.1,158,1.2,0.42,3,63
Wetland,ANDHRA PRADESH,20.0,5.1,7.1,381,1.0,0.32,45,210
Wetland,ANDHRA PRADESH,22.0,4.2,7.1,274,1.5,0.38,4,2
Wetland,ANDHRA PRADESH,27.0,4.5,7.1,12230,1.4,0.63,4,64
Wetland,ANDHRA PRADESH,21.0,3.8,6.6,802,2.2,1.08,191,540
Wetland,ANDHRA PRADESH,25.0,6.1,7.3,16170,2.4,1.12,3,63
Wetland,ANDHRA PRADESH,23.0,4.3,6.8,733,1.8,0.65,170,430
Wetland,ANDHRA PRADESH,24.0,5.1,7.1,24000,2.4,1.03,3,71
Wetland,ANDHRA PRADESH,21.0,5.3,7.0,346,1.0,0.33,84,220
Wetland,ANDHRA PRADESH,22.0,2.0,7.2,330,1.8,1.00,7,2
Wetland,ANDHRA PRADESH,24.0,5.8,6.8,460,1.5,0.32,4,64
Wetland,ANDHRA PRADESH,22.0,3.5,6.9,271,1.5,1.02,9,120
Wetland,ANDHRA PRADESH,23.0,4.6,7.1,931,1.8,0.42,180,430
Wetland,ANDHRA PRADESH,26.0,0.3,6.6,620,1.9,1.96,21,240
Wetland,ANDHRA PRADESH,22.0,5.1,6.8,357,1.2,0.38,41,220
Wetland,ANDHRA PRADESH,21.0,5.2,7.2,480,1.0,0.34,25,240
Wetland,ANDHRA PRADESH,25.0,4.1,7.0,216,1.2,0.34,3,39
Wetland,ANDHRA PRADESH,25.0,2.3,7.0,730,1.8,0.46,4,49
Wetland,ANDHRA PRADESH,21.0,6.4,7.0,641,2.6,1.27,3,150
Wetland,ANDHRA PRADESH,23.0,2.2,7.1,185,1.4,0.42,4,43
LAKE,ASSAM,24.0,1.0,7.7,278,2.3,1.00,2,2
LAKE,ASSAM,22.0,3.8,7.0,179,2.0,0.60,300,1400
LAKE,ASSAM,21.0,0.3,7.3,452,23.6,2.00,2300,4400
LAKE,ASSAM,24.0,4.5,7.0,66,1.6,0.70,300,610
LAKE,ASSAM,21.0,4.6,7.2,156,2.0,0.60,300,1100
LAKE,ASSAM,20.0,4.2,7.2,150,2.2,0.80,300,910
LAKE,ASSAM,22.0,4.2,7.0,64,2.0,0.70,300,910
LAKE,ASSAM,22.0,4.2,7.0,84,2.0,0.60,300,910
LAKE,ASSAM,20.0,5.4,6.8,53,1.9,0.70,300,360
LAKE,ASSAM,21.0,0.3,7.2,1046,25.2,2.20,360,910
LAKE,ASSAM,20.0,4.0,7.0,126,2.1,0.60,300,610
LAKE,ASSAM,22.0,4.0,7.2,136,2.3,0.80,300,910
LAKE,ASSAM,20.0,5.8,7.0,120,2.2,0.60,300,910
LAKE,ASSAM,19.0,4.0,7.0,118,2.0,0.60,300,720
LAKE,ASSAM,20.0,0.3,7.1,511,14.0,1.20,1400,2700
LAKE,ASSAM,21.0,4.0,6.8,123,2.2,0.60,300,730
LAKE,ASSAM,21.0,0.3,7.0,462,24.6,2.00,2600,4200
POND,ASSAM,18.0,4.2,7.2,101,2.1,0.60,300,1100
POND,ASSAM,20.0,4.5,7.0,210,2.0,1.00,300,730
POND,ASSAM,21.0,4.0,7.2,200,2.0,0.60,300,610
POND,ASSAM,18.0,5.8,6.8,68,2.0,0.60,300,360
POND,ASSAM,19.0,5.6,6.9,56,2.0,0.70,300,300
POND,ASSAM,20.0,4.0,7.2,63,2.0,0.80,300,730
POND,ASSAM,22.0,4.6,7.2,83,2.1,0.70,300,720
POND,ASSAM,20.0,4.2,7.1,218,2.3,1.00,360,910
POND,ASSAM,19.0,4.0,7.0,206,2.2,0.80,300,730
POND,ASSAM,20.0,6.8,7.3,63,2.1,0.70,300,720
POND,ASSAM,21.0,4.5,7.0,70,1.8,0.60,300,610
POND,ASSAM,20.0,4.8,6.4,65,1.3,0.70,2,360
POND,ASSAM,20.0,6.8,7.4,101,2.3,0.60,300,620
POND,ASSAM,18.0,5.6,6.7,64,1.8,0.80,300,360
POND,ASSAM,22.0,7.0,7.2,89,2.2,0.80,300,730
POND,ASSAM,20.0,4.5,7.0,382,2.1,0.80,360,910
POND,ASSAM,22.0,4.0,7.2,68,1.9,0.70,300,910
POND,ASSAM,18.0,5.0,6.0,64,1.8,0.70,300,360
POND,ASSAM,23.0,7.0,7.2,264,2.2,0.80,300,720
POND,ASSAM,22.0,4.0,6.8,122,2.2,0.70,300,910
POND,ASSAM,24.0,4.1,7.0,60,1.9,0.70,300,730
POND,ASSAM,24.0,4.3,7.3,96,2.1,0.70,300,910
POND,ASSAM,21.0,5.6,6.8,73,2.1,0.60,300,360
POND,ASSAM,21.0,4.0,7.0,75,2.0,0.70,300,720
POND,ASSAM,20.0,4.0,6.6,66,1.8,0.70,300,360
POND,ASSAM,19.0,4.0,7.3,218,2.0,0.60,300,720
POND,ASSAM,19.0,5.5,6.8,71,2.0,0.70,300,360
TANK,ASSAM,20.0,5.5,6.3,62,1.4,0.70,2,360
LAKE,BIHAR,12.0,1.7,6.8,136,2.4,0.15,780,2300
LAKE,BIHAR,20.0,2.6,7.2,390,1.0,0.06,680,1100
LAKE,BIHAR,12.0,2.2,7.6,444,3.7,0.30,1700,3300
POND,BIHAR,18.0,3.3,7.1,427,2.3,0.13,2200,2600
POND,BIHAR,18.0,5.4,7.4,557,2.1,0.30,920,1700
LAKE,CHANDIGARH,17.0,7.5,6.9,208,2.4,0.50,5,33
LAKE,CHHATTISGARH,24.0,6.0,7.1,460,8.0,0.64,2,70
POND,CHHATTISGARH,21.0,7.0,7.1,460,2.0,0.59,10,110
LAKE,DELHI,32.0,0.3,7.6,6560,40.0,1.14,49000,14000000
LAKE,DELHI,33.0,0.3,8.1,1194,26.0,1.01,49,130
LAKE,GOA,27.0,4.3,6.3,99,1.0,0.32,78,110
LAKE,GOA,27.0,1.6,6.0,78,1.0,0.32,130,170
LAKE,GOA,27.0,5.9,6.2,55,1.0,0.32,49,140
LAKE,GOA,28.0,5.9,6.2,39,1.0,0.32,170,330
LAKE,GOA,27.0,2.8,6.4,90,1.2,0.32,45,68
LAKE,GOA,27.0,1.2,6.1,95,1.0,0.32,130,230
LAKE,GOA,28.0,1.2,6.5,196,2.5,0.32,230,940
LAKE,GOA,27.5,6.1,6.7,38,1.0,0.32,2,4
LAKE,GUJARAT,27.0,5.1,7.6,365,1.0,0.32,2,17
LAKE,GUJARAT,26.0,6.5,7.6,306,1.0,0.30,2,20
LAKE,GUJARAT,27.0,3.5,7.3,205,1.0,0.30,12,46
LAKE,GUJARAT,25.0,4.1,7.3,449,2.4,0.30,26,130
LAKE,GUJARAT,27.0,4.7,7.7,892,1.5,0.24,70,280
LAKE,GUJARAT,26.0,3.4,7.4,335,1.3,0.32,23,130
LAKE,GUJARAT,23.0,5.2,7.2,363,2.2,0.33,5,22
LAKE,GUJARAT,26.0,5.9,7.3,452,1.6,0.32,2,10
LAKE,GUJARAT,18.0,3.0,6.8,358,1.0,0.32,3,6
LAKE,GUJARAT,24.0,6.4,7.3,299,2.0,0.16,2,2
LAKE,GUJARAT,20.0,6.2,7.5,383,1.0,0.01,2,2
LAKE,GUJARAT,26.0,5.0,7.8,1290,1.8,0.32,33,120
LAKE,GUJARAT,23.0,3.5,7.2,314,2.2,0.33,2,17
LAKE,GUJARAT,26.0,4.9,7.6,800,1.6,0.32,46,170
LAKE,GUJARAT,26.0,3.5,7.3,430,1.8,0.30,130,240
POND,GUJARAT,28.0,7.0,7.5,369,1.0,0.30,2,10
POND,GUJARAT,20.0,5.4,7.3,413,1.0,0.04,2,27
TANK,GUJARAT,22.0,2.6,7.1,440,8.0,0.32,6,50
LAKE,HARYANA,22.0,6.2,7.2,289,3.5,0.14,100,100
LAKE,HARYANA,22.0,3.9,7.6,329,3.2,0.30,400,100
LAKE,HARYANA,20.4,6.5,7.0,860,4.0,0.80,6600,32000
POND,HARYANA,22.0,6.3,7.0,280,3.4,0.18,100,100
LAKE,"HIMACHAL 
PRADESH",14.0,8.4,7.2,187,1.0,0.32,94,280
LAKE,"HIMACHAL 
PRADESH",4.0,5.7,6.1,62,1.0,0.30,2,31
LAKE,"HIMACHAL 
PRADESH",13.0,6.0,7.1,109,1.0,0.30,2,25
LAKE,"HIMACHAL 
PRADESH",10.0,6.5,7.3,372,1.0,0.32,26,130
LAKE,"HIMACHAL 
PRADESH",11.0,5.3,6.9,58,1.0,0.41,110,920
LAKE,"JAMMU & 
KASHMIR",14.0,7.5,7.4,190,1.0,0.02,2,24000
LAKE,"JAMMU & 
KASHMIR",15.0,6.2,7.9,168,3.1,0.03,-,-
LAKE,"JAMMU & 
KASHMIR",9.2,3.6,7.3,225,1.5,-,-,-
LAKE,"JAMMU & 
KASHMIR",8.3,0.5,7.2,300,3.3,-,-,-
LAKE,"JAMMU & 
KASHMIR",7.1,1.4,7.2,274,2.4,-,-,-
LAKE,"JAMMU & 
KASHMIR",7.3,3.5,7.3,217,1.2,-,-,-
LAKE,"JAMMU & 
KASHMIR",8.9,0.7,7.1,274,3.5,-,-,-
LAKE,"JAMMU & 
KASHMIR",13.0,4.3,7.3,179,2.0,-,-,-
LAKE,"JAMMU & 
KASHMIR",14.0,0.5,7.1,264,5.4,-,-,-
LAKE,"JAMMU & 
KASHMIR",13.5,0.7,7.1,273,4.4,-,-,-
LAKE,"JAMMU & 
KASHMIR",11.2,3.4,7.2,166,2.1,-,-,-
LAKE,"JAMMU & 
KASHMIR",11.3,3.3,7.0,161,2.0,-,-,-
LAKE,"JAMMU & 
KASHMIR",11.7,4.7,7.1,170,2.7,-,-,-
LAKE,"JAMMU & 
KASHMIR",14.0,4.0,7.5,161,2.3,-,-,-
LAKE,"JAMMU & 
KASHMIR",13.0,6.0,7.5,101,1.3,-,-,-
LAKE,"JAMMU & 
KASHMIR",13.5,2.8,7.4,183,1.0,0.02,-,-
LAKE,"JAMMU & 
KASHMIR",13.8,4.5,7.5,206,2.2,-,-,-
LAKE,"JAMMU & 
KASHMIR",13.5,5.8,7.7,202,2.0,-,-,-
LAKE,"JAMMU & 
KASHMIR",13.0,6.4,7.9,160,2.0,-,-,-
LAKE,"JAMMU & 
KASHMIR",13.8,6.4,7.4,142,1.5,-,-,-
LAKE,"JAMMU & 
KASHMIR",11.7,5.7,7.4,165,2.3,-,-,-
LAKE,"JAMMU & 
KASHMIR",12.2,4.8,7.6,188,2.0,-,-,-
LAKE,"JAMMU & 
KASHMIR",14.0,5.9,7.5,192,1.0,0.02,-,-
LAKE,"JAMMU & 
KASHMIR",15.0,6.1,8.1,170,3.4,0.04,-,-
LAKE,"JAMMU & 
KASHMIR",9.4,2.5,7.3,197,2.0,-,-,-
LAKE,"JAMMU & 
KASHMIR",10.0,1.6,7.1,90,1.3,-,-,-
LAKE,"JAMMU & 
KASHMIR",6.1,3.0,7.2,70,1.0,-,-,-
LAKE,"JAMMU & 
KASHMIR",6.0,4.2,7.1,194,1.3,-,-,-
LAKE,"JAMMU & 
KASHMIR",8.6,4.4,7.1,161,1.5,-,-,-
LAKE,"JAMMU & 
KASHMIR",8.5,2.4,7.1,188,1.8,-,-,-
LAKE,JHARKHAND,20.0,7.0,7.2,168,1.0,-,-,-
LAKE,JHARKHAND,19.5,7.4,7.5,-,2.4,-,-,-
POND,JHARKHAND,17.0,3.6,7.6,296,2.1,-,-,-
POND,JHARKHAND,20.0,2.0,7.3,-,3.9,-,-,-
POND,JHARKHAND,19.0,4.0,7.3,-,4.6,-,-,-
POND,JHARKHAND,17.0,6.2,7.6,310,1.5,-,-,-
LAKE,KARNATAKA,25.0,0.3,6.5,226,3.0,0.70,4600,35000
LAKE,KARNATAKA,25.0,1.9,6.5,324,4.0,1.50,3300,24000
LAKE,KARNATAKA,25.0,4.2,6.6,449,3.0,0.30,2300,24000
LAKE,KARNATAKA,25.0,0.3,6.3,358,4.0,0.30,3400,24000
LAKE,KARNATAKA,25.0,4.6,6.8,706,3.7,1.40,490,5400
LAKE,KARNATAKA,25.0,4.4,6.5,209,4.0,0.70,3300,24000
LAKE,KARNATAKA,25.0,3.2,7.1,706,4.0,0.40,3300,24000
LAKE,KARNATAKA,25.0,0.3,6.5,1035,18.0,1.10,2300,24000
LAKE,KARNATAKA,24.0,0.3,7.6,708,1.0,0.32,920,1600
LAKE,KARNATAKA,25.0,5.7,6.5,141,3.0,0.40,1200,16000
LAKE,KARNATAKA,25.0,4.0,6.5,297,3.0,0.60,3300,24000
LAKE,KARNATAKA,25.0,1.0,6.5,225,4.0,0.36,3300,24000
LAKE,KARNATAKA,25.0,4.8,6.5,208,2.0,0.30,23,24000
LAKE,KARNATAKA,25.0,2.1,6.5,671,6.0,1.50,4000,24000
LAKE,KARNATAKA,21.0,0.3,7.1,725,8.0,2.10,2100,7000
LAKE,KARNATAKA,21.0,2.1,6.5,425,3.0,1.10,4000,24000
LAKE,KARNATAKA,25.0,3.4,6.1,185,3.0,0.30,4000,24000
LAKE,KARNATAKA,25.0,0.3,6.3,974,9.0,1.20,3300,24000
LAKE,KARNATAKA,25.0,0.3,6.0,359,5.0,0.70,4600,35000
LAKE,KARNATAKA,25.0,4.0,6.5,325,4.0,0.50,2300,24000
LAKE,KARNATAKA,25.0,2.0,6.4,221,4.0,0.60,2300,24000
LAKE,KARNATAKA,25.0,2.1,6.1,240,3.0,0.30,4000,24000
LAKE,KARNATAKA,25.0,4.8,6.5,247,3.0,0.40,1500,16000
LAKE,KARNATAKA,25.0,1.2,6.5,812,4.0,0.80,3300,24000
LAKE,KARNATAKA,22.0,5.2,7.5,386,3.5,1.80,240,2200
